,Family_History_Treatment,Imm_reason_text,Immigration-Treatmen,Partisan priming,Coerced,Family1_vs_NoFamily0,Slavery1_vs_NoSlavery0,Negative-1_Neutral0_Positive1,Native1_vs_NoNative0,Nonsense
1916,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1917,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1918,0,was sponsored by another family member,My parents' generation,0,0,1,0,0,0,0
1919,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1922,0,They were chasing opportunity - a new start.,My grandparents' generation,0,0,0,0,1,0,0
1925,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1926,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1927,0,NA,My generation,na,na,NA,NA,NA,NA,NA
1928,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1930,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1932,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1934,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1935,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1936,0,They wanted a future.,My grandparents' generation,0,0,0,0,1,0,0
1937,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1938,0,NA,My generation,na,na,NA,NA,NA,NA,NA
1939,0,To study and earn a degree.,My parents' generation,0,0,1,0,0,0,0
1940,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1943,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1944,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1946,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1948,0,My grandfather was an activist in the labor movement in Wales back in the early 1900's and was seeking a better way of living.,My grandparents' generation,0,0,1,0,1,0,0
1949,0,NA,My generation,na,na,NA,NA,NA,NA,NA
1950,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1952,0,i like to live here safe country it is,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,1
1953,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1955,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1959,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1962,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1963,0,Slaves - had no choice,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
1964,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1965,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1966,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1967,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1969,0,They were Germans living in Russia and came after WW1 because it was dangerous for them to stay there,My grandparents' generation,0,0,1,0,-1,0,0
1970,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1971,0,To have a better life,My generation,0,0,0,0,1,0,0
1973,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1974,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1975,0,They wanted to start their own business and have a better life.,My grandparents' generation,0,0,1,0,1,0,0
1979,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1980,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1981,0,for a better life,My parents' generation,0,0,0,0,1,0,0
1982,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1983,0,i am sure it was for freedom,My grandparents' generation,0,0,0,0,1,0,0
1988,0,My family came for equal opportunities and pay,My great-grandparents' generation,0,0,1,0,1,0,0
1990,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1991,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1992,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1995,0,"My family came to the United States because they wanted to better their life as well as ours, their children.",My parents' generation,0,0,1,0,1,0,0
1996,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1997,0,for best future,My generation,0,0,0,0,1,0,0
1998,0,Look for better opportunity,My great-grandparents' generation,0,0,0,0,1,0,0
2001,0,"They came for better standards of living such as more work, better paying jobs, overall an improvement of overall lifestyle but mostly  financially motivated. 

",My great-grandparents' generation,0,0,0,0,1,0,0
2003,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2010,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2011,0,to seek economic relief and their own farm land,My grandparents' generation,0,0,0,0,1,0,0
2012,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2014,0,"They were kidnapped, shackled, and shoved into the bottom of boats.",My great-great-grandparents' generation or earlier,0,0,1,1,-1,0,0
2020,0,"yes
",My parents' generation,0,0,0,0,0,0,1
2027,0,Most of my family were indigenous Native Americans and the rest of my family came when the United States was a British Colony to help colonize the United States.,My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
2033,0,Fox News hosts have been at a loss for words over their now former colleague Shepard Smith’s departure from the network.,My great-grandparents' generation,0,0,0,0,0,0,1
2035,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2037,0,to flee religious persecution,My grandparents' generation,0,0,0,0,-1,0,0
2039,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2042,0,My family was born in the united states.,My parents' generation,0,0,1,0,0,1,0
2043,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2044,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2049,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2051,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2052,0,Family reunification is a recognized reason for immigration in many countries because of the presence of one or more family members in a certain country,My great-grandparents' generation,0,0,1,0,0,0,0
2053,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2056,0,They came to have more opportunities and create a new life.,My parents' generation,0,0,0,0,1,0,0
2057,0,"The first ancestor came from England in 1619, but the majority came from Germany",My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
2058,0,to escape the war,My grandparents' generation,0,0,1,0,-1,0,0
2060,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2062,0,For the same reasons everyone else did.,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,0
2067,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2071,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2072,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2075,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2076,0,Freedom and American dream,My grandparents' generation,0,0,0,0,1,0,0
2079,0,fttrtr,My great-grandparents' generation,0,0,0,0,0,0,1
2081,0,"Economic opportunities, fleeing European famine, possibly reuniting with relatives.  There is a story of spoons making the oceanic trek to Nova Scotia, back to Europe, back to Nova Scotia and then the U.S.",My great-great-grandparents' generation or earlier,0,0,1,0,-1,0,0
2087,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2088,0,They came to seek opportunities.,My generation,0,0,0,0,1,0,0
2089,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2091,0,To give the rest of their family a chance of more safe organized freedom. Provide a better chance of higher potential income,My generation,0,0,0,0,1,0,0
2093,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2094,0,to live the American dream,My generation,0,0,0,0,1,0,0
2095,0,New Opportunity,My grandparents' generation,0,0,0,0,1,0,0
2098,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2099,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2100,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2106,0,because it is cost of living much better housing better products better parks.and mainly for work,My grandparents' generation,0,0,1,0,1,0,0
2107,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2110,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2111,0,Thanky ou,My parents' generation,0,0,0,0,1,0,0
2113,0,Irish famine,My great-grandparents' generation,0,0,1,0,-1,0,0
2116,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2117,0,NA,My generation,na,na,NA,NA,NA,NA,NA
2118,0,political problem or financial problem,My generation,0,0,0,0,-1,0,0
2122,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2124,0,albana,My grandparents' generation,0,0,0,0,0,0,1
2126,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2128,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2129,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2131,0,They wanted to make a better life for themselves,My grandparents' generation,0,0,0,0,1,0,0
2132,0,Better work opportunities,My grandparents' generation,0,0,0,0,1,0,0
2136,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2137,0,nice that,My generation,0,0,0,0,1,0,0
2140,0,Me neighberhood.,My generation,0,0,0,0,0,0,1
2141,0,Some of my ancestors moved here for religious reasons.,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
2145,0,for better future,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
2147,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2149,0,job money,My parents' generation,0,0,0,0,1,0,0
2150,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2151,0,It was during the flood of German immigrants in the mid 1600's.,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
2162,0,NA,My generation,na,na,NA,NA,NA,NA,NA
2163,0,Kljggeekkr,My generation,0,0,0,0,0,0,1
2164,0,"Jews from Eastern Europe, after WWII",My grandparents' generation,0,0,1,0,-1,0,0
2166,0,great,My parents' generation,0,0,0,0,1,0,0
2168,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2170,0,Opportunity,My generation,0,0,0,0,1,0,0
2171,0,"They didn't actually come here, they were dropped off as slaves.",My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
2172,0,my family were refugees caught up in the vietnam war,My parents' generation,0,0,1,0,-1,0,0
2174,0,slaves,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
2175,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2176,0,to live a better life and change what their kids go through,My parents' generation,0,0,1,0,1,0,0
2178,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2180,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2182,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2184,0,To get out of Europe.,My grandparents' generation,0,0,1,0,-1,0,0
2186,0,Homeland,My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
2191,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2192,0,good,My generation,0,0,0,0,1,0,0
2193,0,NA,NA,na,na,NA,NA,NA,NA,NA
2194,0,yes,My generation,0,0,0,0,0,0,1
2195,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2200,0,Because they have been born here,My generation,0,0,1,0,0,1,0
2204,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2206,0,it' very good country,My generation,0,0,0,0,1,0,0
2207,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2208,0,better opportunity for our family,My great-grandparents' generation,0,0,0,0,1,0,0
2210,0,becousae,My parents' generation,0,0,0,0,0,0,1
2212,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2213,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2216,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2217,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2222,0,NA,My generation,na,na,NA,NA,NA,NA,NA
2223,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2224,0,because they were slaves and never wanted to come to this country in the first place.,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
2225,0,NA,My generation,na,na,NA,NA,NA,NA,NA
2227,0,ddd,My generation,0,0,0,0,0,0,1
2230,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2232,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2235,0,They wanted to live here instead of another country. Moreopportunities,My grandparents' generation,0,0,0,0,1,0,0
2236,0,"My maternal family came to the US for religion.
My paternal family came for opportunity.",My great-grandparents' generation,0,0,1,0,1,0,0
2237,0,idk,My grandparents' generation,0,0,0,0,0,0,0
2239,0,for overcoming,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
2244,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2245,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2246,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2248,0,Slavery,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
2251,0,Economic reasons,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,0
2253,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2256,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2257,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2261,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2262,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2263,0,fOR JOB,My grandparents' generation,0,0,0,0,0,0,0
2267,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2268,0,иелпьи.тьл,My grandparents' generation,0,0,0,0,0,0,1
2270,0,they came to get away from putim,My parents' generation,0,0,1,0,-1,0,0
2272,0,To seek a better life for their children,My parents' generation,0,0,0,0,1,0,0
2273,0,ou76rtyuijugyhujytvgbhgvfgbhgvfgbvfgb,My grandparents' generation,0,0,0,0,0,0,1
2275,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2276,0,They came from warring countries like Slovakia,My great-great-grandparents' generation or earlier,0,0,1,0,-1,0,0
2278,0,They came to the USA for freedom and live better lives.,My generation,0,0,0,0,1,0,0
2280,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2283,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2285,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2288,0,NA,My generation,na,na,NA,NA,NA,NA,NA
2289,0,Because they were idealists that had radical political concepts and were afraid to rebel against the established powers of their home nation.,My great-grandparents' generation,0,0,1,0,-1,0,0
2290,0,"To build and secure a future, a life they could enjoy more and prosper. A chance to just be.",My great-grandparents' generation,0,0,0,0,1,0,0
2293,0,"hong kong was being returned to china, and with china's crackdown, it wouldn't be a free place",My parents' generation,0,0,1,0,-1,0,0
2296,0,get jobs,My grandparents' generation,0,0,0,0,1,0,0
2297,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2298,0,came over on boat,My generation,0,0,1,0,0,0,0
2300,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2301,0,My family came to America because of the African slave trade. They were brought over to America as slaves.,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
2304,0,Freedom.,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
2305,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2308,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2310,0,"As slaves. They didn't come here they were brought here and sold and bought then later freed when people decided to suddenly grow consciences and realize slavery was wrong, which it already was from the get go.",My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
2313,0,"work, to earn money and provide for their family",My grandparents' generation,0,0,0,0,0,0,0
2315,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2317,0,"Because, it has too many immigrants.",My generation,0,0,0,0,0,0,0
2318,0,it is bad here.,My parents' generation,0,0,0,0,-1,0,0
2322,0,Good,My generation,0,0,0,0,1,0,0
2323,0,freedom,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
2331,0,My family lived here since the beginning of the pilgrims. I have lived in this country my whole life,My parents' generation,0,0,1,0,0,1,0
2332,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2334,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2335,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2336,0,To get a better life,My parents' generation,0,0,0,0,1,0,0
2337,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2339,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2341,0,My family came to United States because this is the best country in the world!,My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
2343,0,to seek new opportunities,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
2346,0,3,My great-grandparents' generation,0,0,0,0,0,0,1
2348,0,NA,My generation,na,na,NA,NA,NA,NA,NA
2350,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2352,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2353,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2354,0,"more room for cultures
",My parents' generation,0,0,0,0,1,0,0
2356,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2359,0,Good 😊 Facebook apps Facebook download,My parents' generation,0,0,0,0,0,0,1
2361,0,gold rush land agriculture and work,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
2364,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2367,0,very happy,My parents' generation,0,0,0,0,1,0,0
2368,0,freedom,My grandparents' generation,0,0,0,0,1,0,0
2369,0,the new world,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
2372,0,They most likely wanted more opportunity in North America.,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
2374,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2375,0,Good experience i like it yes,My generation,0,0,0,0,1,0,0
2376,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2378,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2383,0,usa,My parents' generation,0,0,0,0,0,0,1
2384,0,They were taken from their homes and forced to become slaves in the United States.,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
2385,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2387,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2390,0,For better jop opportunities,My grandparents' generation,0,0,0,0,1,0,0
2392,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2394,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2396,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2397,0,I don't wanna talk about it. Let's just say it wasn't willingly and based on empty promises,My grandparents' generation,0,0,0,1,-1,0,0
2398,0,Better work and job opportunities for my dad,My parents' generation,0,0,1,0,1,0,0
2399,0,My family was former slaves,My great-grandparents' generation,0,1,1,1,-1,0,0
2400,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2401,0,IMMIGRANT,My generation,0,0,0,0,0,0,0
2404,0,To have better life and in the pursuit of liberty,My grandparents' generation,0,0,0,0,1,0,0
2405,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2406,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2409,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2410,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2411,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2413,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2416,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2419,0,Religious persecution,My great-grandparents' generation,0,0,1,0,-1,0,0
2421,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2422,0,Escaping rising facism and opportunities,My great-grandparents' generation,0,0,1,0,-1,0,0
2425,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2426,0,To have a better life,My grandparents' generation,0,0,0,0,1,0,0
2428,0,NA,My generation,na,na,NA,NA,NA,NA,NA
2429,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2430,0,to escape north vietnam and communism. to give me a better lfife,My parents' generation,0,0,1,0,-1,0,0
2435,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2436,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2440,0,My family moved to USA on business purpose.,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
2441,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2443,0,NA,My generation,na,na,NA,NA,NA,NA,NA
2446,0,Looking for work,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,0
2449,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2450,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2453,0,8,My parents' generation,0,0,0,0,0,0,1
2454,0,We were all born in the U.S.,My generation,0,0,0,0,0,1,0
2455,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2460,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2463,0,opportunity,My parents' generation,0,0,0,0,1,0,0
2464,0,NA,My generation,na,na,NA,NA,NA,NA,NA
2465,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2467,0,Inborn,My parents' generation,0,0,0,0,0,1,0
2468,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2470,0,NA,My generation,na,na,NA,NA,NA,NA,NA
2472,0,To come to a safer country.,My parents' generation,0,0,1,0,1,0,0
2475,0,do it,My generation,0,0,0,0,0,0,1
2477,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2484,0,My family came to the United States for new opportunities and fortunes. They came here with a spirit of courage and entrepreneurship.,My generation,0,0,0,0,1,0,0
2486,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2488,0,In search of a better life and they did it legally.,My great-great-grandparents' generation or earlier,1,0,1,0,1,0,0
2491,0,Not to get free handouts,My grandparents' generation,1,0,0,0,0,0,0
2492,0,To be free,My great-grandparents' generation,0,0,0,0,1,0,0
2496,0,"They fled communist East Germany and loved our American values unlike the Mexicans and unlike the Muslims who do not value speech, guns and smaller government. Despite my answers earlier, I would happy accept refugees, asylum seekers and immigrants from Hong Kong, Taiwan, Ukraine, Czech Republic, Poland, Hungary, Israel,  and other countries that don't suck. Don't want western Europeans either, we already took all the good ones.",My parents' generation,1,0,1,0,1,0,0
2501,0,I feel became the United States because we want a better opportunity to live,My parents' generation,0,0,0,0,1,0,0
2503,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2504,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2506,0,To get off the boat that brought them,My great-grandparents' generation,0,0,0,0,0,0,0
2508,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2510,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2511,0,Rtyyy,My grandparents' generation,0,0,0,0,0,0,0
2515,0,My family immigrated for secured personal freedom and liberties as well economic opportunities.,My parents' generation,0,0,1,0,1,0,0
2519,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2520,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2521,0,NA,NA,na,na,NA,NA,NA,NA,NA
2524,0,To start a new life. They wanted to get away from their current government.,My parents' generation,0,0,1,0,-1,0,0
2525,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2526,0,Slavery,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
2530,0,conditions in Mexico,My great-grandparents' generation,0,0,1,0,-1,0,0
2533,0,Poverty,My parents' generation,0,0,1,0,-1,0,0
2535,0,They founded this land you dumb asses,My generation,0,0,0,0,0,1,0
2537,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2538,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2541,0,none none,My great-grandparents' generation,0,0,0,0,0,0,1
2542,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2545,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2547,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2549,0,because of antisemitism,My generation,0,0,1,0,-1,0,0
2551,0,to get married,My great-grandparents' generation,0,0,1,0,0,0,0
2552,0,"Romanian gypsies, fleeing persecution. On father's side, German immigrants that didn't want to live in Germany anymore.",My great-grandparents' generation,0,0,1,0,-1,0,0
2554,0,ok,My generation,0,0,0,0,0,0,1
2555,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2556,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2558,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2559,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2560,0,prefer not to answer,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,0
2561,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2563,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2565,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2567,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2568,0,Opportunity to increase personal wealth,My grandparents' generation,0,0,0,0,1,0,0
2569,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2573,0,Freedom,My grandparents' generation,0,0,0,0,1,0,0
2575,0,For employment opportunities,My grandparents' generation,0,0,0,0,1,0,0
2576,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2580,0,They came here for a chance at a better life.  It’s the dream of all immigrants,My grandparents' generation,0,0,0,0,1,0,0
2581,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2583,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2584,0,better life,My grandparents' generation,0,0,0,0,1,0,0
2586,0,A better life,My grandparents' generation,0,0,0,0,1,0,0
2588,0,To escape religious persecution in Armenia,My great-grandparents' generation,0,0,1,0,-1,0,0
2591,0,we were born and raised in the us,My great-grandparents' generation,0,0,0,0,0,1,0
2592,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2593,0,they were fleeing famine,My great-grandparents' generation,0,0,1,0,-1,0,0
